ime;pozicija;starost;sezona;država;klub1;liga1;klub2;liga2;cena
Alexandre Lacazette;Centre-Forward;26;17/18;France;Olympique Lyon;France;Arsenal FC;England;53
Gianluigi Buffon;Keeper;23;1.feb;Italy;Parma Calcio 1913;Italy;Juventus FC;Italy;52,88
Kyle Walker;Right-Back;27;17/18;England;Tottenham Hotspur;England;Manchester City;England;51
Alex Teixeira;Attacking Midfield;26;15/16;Brazil;Shakhtar Donetsk;Ukraine;Jiangsu Suning;China;50
Leroy Sané;Left Wing;20;16/17;Germany;FC Schalke 04;Germany;Manchester City;England;50
Bernardo Silva;Right Wing;22;17/18;Portugal;AS Monaco;Monaco;Manchester City;England;50
David Luiz;Centre-Back;27;14/15;Brazil;Chelsea FC;England;Paris Saint-Germain;France;49,5
Gylfi Sigurdsson;Attacking Midfield;27;17/18;Iceland;Swansea City;Wales;Everton FC;England;49,4
Gaizka Mendieta;Right Midfield;27;1.feb;Spain;Valencia CF;Spain;SS Lazio;Italy;48
Mesut Özil;Attacking Midfield;24;13/14;Germany;Real Madrid;Spain;Arsenal FC;England;47
Christian Benteke;Centre-Forward;24;15/16;Belgium;Aston Villa;England;Liverpool FC;England;46,5
Christian Vieri;Centre-Forward;25;99/00;Italy;SS Lazio;Italy;Inter Milan;Italy;46,48
Rio Ferdinand;Centre-Back;23;2.mar;England;Leeds United;England;Manchester United;England;46
Ronaldo;Centre-Forward;25;2.mar;Brazil;Inter Milan;Italy;Real Madrid;Spain;45
James Rodríguez;Attacking Midfield;21;13/14;Colombia;FC Porto;Portugal;AS Monaco;Monaco;45
Granit Xhaka;Defensive Midfield;23;16/17;Switzerland;Borussia Mönchengladbach;Germany;Arsenal FC;England;45
Vinícius Júnior;Left Wing;18;18/19;Brazil;Clube de Regatas do Flamengo;Brazil;Real Madrid;Spain;45
Juan Mata;Attacking Midfield;25;13/14;Spain;Chelsea FC;England;Manchester United;England;44,73
Nemanja Matic;Defensive Midfield;29;17/18;Serbia;Chelsea FC;England;Manchester United;England;44,7
Nicolás Otamendi;Centre-Back;27;15/16;Argentina;Valencia CF;Spain;Manchester City;England;44,6
Andriy Shevchenko;Centre-Forward;29;6.jul;Ukraine;AC Milan;Italy;Chelsea FC;England;43,3
Robinho;Left Wing;24;8.sep;Brazil;Real Madrid;Spain;Manchester City;England;43
Falcao;Centre-Forward;27;13/14;Colombia;Atlético Madrid;Spain;AS Monaco;Monaco;43
Julian Draxler;Left Wing;21;15/16;Germany;FC Schalke 04;Germany;VfL Wolfsburg;Germany;43
Juan Sebastián Verón;Central Midfield;26;1.feb;Argentina;SS Lazio;Italy;Manchester United;England;42,6
Alexis Sánchez;Left Wing;25;14/15;Chile;FC Barcelona;Spain;Arsenal FC;England;42,5
Thiago Silva;Centre-Back;27;dec.13;Brazil;AC Milan;Italy;Paris Saint-Germain;France;42
Rui Costa;Attacking Midfield;29;1.feb;Portugal;ACF Fiorentina;Italy;AC Milan;Italy;42
Javier Pastore;Central Midfield;22;11.dec;Argentina;US Palermo;Italy;Paris Saint-Germain;France;42
Jackson Martínez;Centre-Forward;29;15/16;Colombia;Atlético Madrid;Spain;Guangzhou Evergrande Taobao;China;42
Henrikh Mkhitaryan;Attacking Midfield;27;16/17;Armenia;Borussia Dortmund;Germany;Manchester United;England;42
Leonardo Bonucci;Centre-Back;30;17/18;Italy;Juventus FC;Italy;AC Milan;Italy;42
Mohamed Salah;Right Wing;25;17/18;Egypt;AS Roma;Italy;Liverpool FC;England;42
Lilian Thuram;Centre-Back;29;1.feb;France;Parma Calcio 1913;Italy;Juventus FC;Italy;41,5
Corentin Tolisso;Central Midfield;22;17/18;France;Olympique Lyon;France;Bayern Munich;Germany;41,5
Pavel Nedved;Left Midfield;28;1.feb;Czech Republic;SS Lazio;Italy;Juventus FC;Italy;41,2
Sadio Mané;Left Wing;24;16/17;Senegal;Southampton FC;England;Liverpool FC;England;41,2
Andy Carroll;Centre-Forward;22;10.nov;England;Newcastle United;England;Liverpool FC;England;41
Roberto Firmino;Secondary Striker;23;15/16;Brazil;TSG 1899 Hoffenheim;Germany;Liverpool FC;England;41
Shkodran Mustafi;Centre-Back;24;16/17;Germany;Valencia CF;Spain;Arsenal FC;England;41
Hulk;Right Wing;26;dec.13;Brazil;FC Porto;Portugal;Zenit St. Petersburg;Russia;40
Lucas;Right Wing;20;dec.13;Brazil;São Paulo Futebol Clube;Brazil;Paris Saint-Germain;France;40
Javi Martínez;Defensive Midfield;24;dec.13;Spain;Athletic Bilbao;Spain;Bayern Munich;Germany;40
Axel Witsel;Central Midfield;23;dec.13;Belgium;SL Benfica;Portugal;Zenit St. Petersburg;Russia;40
David Villa;Centre-Forward;28;10.nov;Spain;Valencia CF;Spain;FC Barcelona;Spain;40
Falcao;Centre-Forward;25;11.dec;Colombia;FC Porto;Portugal;Atlético Madrid;Spain;40
Marc Overmars;Left Wing;27;00/01;Netherlands;Arsenal FC;England;FC Barcelona;Spain;40
Fernandinho;Defensive Midfield;28;13/14;Brazil;Shakhtar Donetsk;Ukraine;Manchester City;England;40
Paulo Dybala;Secondary Striker;21;15/16;Argentina;US Palermo;Italy;Juventus FC;Italy;40
João Mário;Attacking Midfield;23;16/17;Portugal;Sporting CP;Portugal;Inter Milan;Italy;40
Julian Draxler;Left Wing;23;16/17;Germany;VfL Wolfsburg;Germany;Paris Saint-Germain;France;40
Federico Bernardeschi;Right Wing;23;17/18;Italy;ACF Fiorentina;Italy;Juventus FC;Italy;40
Ederson;Keeper;23;17/18;Brazil;SL Benfica;Portugal;Manchester City;England;40
Tiemoué Bakayoko;Defensive Midfield;22;17/18;France;AS Monaco;Monaco;Chelsea FC;England;40
Paulinho;Central Midfield;29;17/18;Brazil;Guangzhou Evergrande Taobao;China;FC Barcelona;Spain;40
Davinson Sánchez;Centre-Back;21;17/18;Colombia;Ajax Amsterdam;Netherlands;Tottenham Hotspur;England;40
Douglas Costa;Left Wing;27;18/19;Brazil;Bayern Munich;Germany;Juventus FC;Italy;40
Gonzalo Higuaín;Centre-Forward;25;13/14;Argentina;Real Madrid;Spain;SSC Napoli;Italy;39
Michy Batshuayi;Centre-Forward;22;16/17;Belgium;Olympique Marseille;France;Chelsea FC;England;39
Didier Drogba;Centre-Forward;26;4.maj;Cote d'Ivoire;Olympique Marseille;France;Chelsea FC;England;38,5
Michael Essien;Defensive Midfield;22;5.jun;Ghana;Olympique Lyon;France;Chelsea FC;England;38
Fernando Torres;Centre-Forward;23;7.avg;Spain;Atlético Madrid;Spain;Liverpool FC;England;38
Dimitar Berbatov;Centre-Forward;27;8.sep;Bulgaria;Tottenham Hotspur;England;Manchester United;England;38
Diego Costa;Centre-Forward;25;14/15;Spain;Atlético Madrid;Spain;Chelsea FC;England;38
Eric Bailly;Centre-Back;22;16/17;Cote d'Ivoire;Villarreal CF;Spain;Manchester United;England;38
André Silva;Centre-Forward;21;17/18;Portugal;FC Porto;Portugal;AC Milan;Italy;38
Alex Oxlade-Chamberlain;Right Midfield;24;17/18;England;Arsenal FC;England;Liverpool FC;England;38
Danny Drinkwater;Central Midfield;27;17/18;England;Leicester City;England;Chelsea FC;England;37,9
David Beckham;Right Midfield;28;3.apr;England;Manchester United;England;Real Madrid;Spain;37,5
Luke Shaw;Left-Back;18;14/15;England;Southampton FC;England;Manchester United;England;37,5
Arturo Vidal;Central Midfield;28;15/16;Chile;Juventus FC;Italy;Bayern Munich;Germany;37,5
Jackson Martínez;Centre-Forward;28;15/16;Colombia;FC Porto;Portugal;Atlético Madrid;Spain;37,1
Filippo Inzaghi;Centre-Forward;27;1.feb;Italy;Juventus FC;Italy;AC Milan;Italy;37
Wayne Rooney;Secondary Striker;18;4.maj;England;Everton FC;England;Manchester United;England;37
Edin Dzeko;Centre-Forward;24;10.nov;Bosnia-Herzegovina;VfL Wolfsburg;Germany;Manchester City;England;37
Mario Götze;Attacking Midfield;21;13/14;Germany;Borussia Dortmund;Germany;Bayern Munich;Germany;37
Gabriel Batistuta;Centre-Forward;31;00/01;Argentina;ACF Fiorentina;Italy;AS Roma;Italy;36,15
Hernán Crespo;Centre-Forward;27;2.mar;Argentina;SS Lazio;Italy;Inter Milan;Italy;36
Arjen Robben;Right Wing;23;7.avg;Netherlands;Chelsea FC;England;Real Madrid;Spain;36
Sergio Agüero;Centre-Forward;23;11.dec;Argentina;Atlético Madrid;Spain;Manchester City;England;36
Ander Herrera;Central Midfield;24;14/15;Spain;Athletic Bilbao;Spain;Manchester United;England;36
Geoffrey Kondogbia;Central Midfield;22;15/16;France;AS Monaco;Monaco;Inter Milan;Italy;36
Vitolo;Left Wing;27;17/18;Spain;Sevilla FC;Spain;Atlético Madrid;Spain;36
Javier Saviola;Secondary Striker;19;1.feb;Argentina;Club Atlético River Plate;Argentina;FC Barcelona;Spain;35,9
N'Golo Kanté;Defensive Midfield;25;16/17;France;Leicester City;England;Chelsea FC;England;35,8
Dani Alves;Right-Back;25;8.sep;Brazil;Sevilla FC;Spain;FC Barcelona;Spain;35,5
Willian;Right Wing;25;13/14;Brazil;Anzhi Makhachkala;Russia;Chelsea FC;England;35,5
Xabi Alonso;Defensive Midfield;27;9.okt;Spain;Liverpool FC;England;Real Madrid;Spain;35,4
Romelu Lukaku;Centre-Forward;21;14/15;Belgium;Chelsea FC;England;Everton FC;England;35,36
Eden Hazard;Left Wing;21;dec.13;Belgium;LOSC Lille;France;Chelsea FC;England;35
Willian;Right Wing;24;dec.13;Brazil;Shakhtar Donetsk;Ukraine;Anzhi Makhachkala;Russia;35
Karim Benzema;Centre-Forward;21;9.okt;France;Olympique Lyon;France;Real Madrid;Spain;35
Morgan Schneiderlin;Defensive Midfield;25;15/16;France;Southampton FC;England;Manchester United;England;35
Mats Hummels;Centre-Back;27;16/17;Germany;Borussia Dortmund;Germany;Bayern Munich;Germany;35
André Gomes;Central Midfield;22;16/17;Portugal;Valencia CF;Spain;FC Barcelona;Spain;35
David Luiz;Centre-Back;29;16/17;Brazil;Paris Saint-Germain;France;Chelsea FC;England;35
Moussa Sissoko;Central Midfield;27;16/17;France;Newcastle United;England;Tottenham Hotspur;England;35
Renato Sanches;Central Midfield;18;16/17;Portugal;SL Benfica;Portugal;Bayern Munich;Germany;35
Antonio Rüdiger;Centre-Back;24;17/18;Germany;AS Roma;Italy;Chelsea FC;England;35
Victor Lindelöf;Centre-Back;22;17/18;Sweden;SL Benfica;Portugal;Manchester United;England;35
Nicolas Anelka;Centre-Forward;20;99/00;France;Arsenal FC;England;Real Madrid;Spain;35
Nicolas Anelka;Centre-Forward;21;00/01;France;Real Madrid;Spain;Paris Saint-Germain;France;34,5
Cesc Fàbregas;Central Midfield;24;11.dec;Spain;Arsenal FC;England;FC Barcelona;Spain;34
Arda Turan;Left Wing;28;15/16;Turkey;Atlético Madrid;Spain;FC Barcelona;Spain;34
Memphis Depay;Left Wing;21;15/16;Netherlands;PSV Eindhoven;Netherlands;Manchester United;England;34
Ángel Di María;Right Wing;22;10.nov;Argentina;SL Benfica;Portugal;Real Madrid;Spain;33
Cesc Fàbregas;Central Midfield;27;14/15;Spain;FC Barcelona;Spain;Chelsea FC;England;33
Marouane Fellaini;Central Midfield;25;13/14;Belgium;Everton FC;England;Manchester United;England;32,4
Wilfried Bony;Centre-Forward;26;14/15;Cote d'Ivoire;Swansea City;Wales;Manchester City;England;32,3
Ronaldinho;Attacking Midfield;23;3.apr;Brazil;Paris Saint-Germain;France;FC Barcelona;Spain;32,25
Oscar;Attacking Midfield;20;dec.13;Brazil;Sport Club Internacional;Brazil;Chelsea FC;England;32
Asier Illarramendi;Defensive Midfield;23;13/14;Spain;Real Sociedad;Spain;Real Madrid;Spain;32
André Schürrle;Left Wing;24;14/15;Germany;Chelsea FC;England;VfL Wolfsburg;Germany;32
Miralem Pjanic;Central Midfield;26;16/17;Bosnia-Herzegovina;AS Roma;Italy;Juventus FC;Italy;32
Gabriel Jesus;Centre-Forward;19;16/17;Brazil;Sociedade Esportiva Palmeiras;Brazil;Manchester City;England;32
Arkadiusz Milik;Centre-Forward;22;16/17;Poland;Ajax Amsterdam;Netherlands;SSC Napoli;Italy;32
Shaun Wright-Phillips;Right Wing;23;5.jun;England;Manchester City;England;Chelsea FC;England;31,5
Anderson;Central Midfield;19;7.avg;Brazil;FC Porto;Portugal;Manchester United;England;31,5
Danilo;Right-Back;23;15/16;Brazil;FC Porto;Portugal;Real Madrid;Spain;31,5
Denílson;Left Wing;20;98/99;Brazil;São Paulo Futebol Clube;Brazil;Real Betis Balompié;Spain;31,5
Marquinhos;Centre-Back;19;13/14;Brazil;AS Roma;Italy;Paris Saint-Germain;France;31,4
Christian Benteke;Centre-Forward;25;16/17;Belgium;Liverpool FC;England;Crystal Palace;England;31,2
Juan Cuadrado;Right Wing;26;14/15;Colombia;ACF Fiorentina;Italy;Chelsea FC;England;31
Adam Lallana;Attacking Midfield;26;14/15;England;Southampton FC;England;Liverpool FC;England;31
Mateo Kovacic;Central Midfield;21;15/16;Croatia;Inter Milan;Italy;Real Madrid;Spain;31
Robin van Persie;Centre-Forward;29;dec.13;Netherlands;Arsenal FC;England;Manchester United;England;30,7
Alessandro Nesta;Centre-Back;26;2.mar;Italy;SS Lazio;Italy;AC Milan;Italy;30,5
Eliaquim Mangala;Centre-Back;23;14/15;France;FC Porto;Portugal;Manchester City;England;30,5
Islam Slimani;Centre-Forward;28;16/17;Algeria;Sporting CP;Portugal;Leicester City;England;30,5
Nélson Semedo;Right-Back;23;17/18;Portugal;SL Benfica;Portugal;FC Barcelona;Spain;30,5
Luka Modric;Central Midfield;26;dec.13;Croatia;Tottenham Hotspur;England;Real Madrid;Spain;30
Ricardo Carvalho;Centre-Back;26;4.maj;Portugal;FC Porto;Portugal;Chelsea FC;England;30
Pepe;Centre-Back;24;7.avg;Portugal;FC Porto;Portugal;Real Madrid;Spain;30
Franck Ribéry;Left Wing;24;7.avg;France;Olympique Marseille;France;Bayern Munich;Germany;30
Danny;Attacking Midfield;25;8.sep;Portugal;Dinamo Moscow;Russia;Zenit St. Petersburg;Russia;30
Mario Gómez;Centre-Forward;23;9.okt;Germany;VfB Stuttgart;Germany;Bayern Munich;Germany;30
Yaya Touré;Central Midfield;27;10.nov;Cote d'Ivoire;FC Barcelona;Spain;Manchester City;England;30
Manuel Neuer;Keeper;25;11.dec;Germany;FC Schalke 04;Germany;Bayern Munich;Germany;30
Fábio Coentrão;Left-Back;23;11.dec;Portugal;SL Benfica;Portugal;Real Madrid;Spain;30
Roberto Soldado;Centre-Forward;28;13/14;Spain;Valencia CF;Spain;Tottenham Hotspur;England;30
Isco;Attacking Midfield;21;13/14;Spain;Málaga CF;Spain;Real Madrid;Spain;30
Érik Lamela;Right Wing;21;13/14;Argentina;AS Roma;Italy;Tottenham Hotspur;England;30
Antoine Griezmann;Centre-Forward;23;14/15;France;Real Sociedad;Spain;Atlético Madrid;Spain;30
Carlos Bacca;Centre-Forward;28;15/16;Colombia;Sevilla FC;Spain;AC Milan;Italy;30
Douglas Costa;Left Wing;24;15/16;Brazil;Shakhtar Donetsk;Ukraine;Bayern Munich;Germany;30
Rodrigo;Centre-Forward;24;15/16;Spain;SL Benfica;Portugal;Valencia CF;Spain;30
Heung-Min Son;Left Wing;23;15/16;Korea, South;Bayer 04 Leverkusen;Germany;Tottenham Hotspur;England;30
Álvaro Morata;Centre-Forward;23;16/17;Spain;Juventus FC;Italy;Real Madrid;Spain;30
Paco Alcácer;Centre-Forward;23;16/17;Spain;Valencia CF;Spain;FC Barcelona;Spain;30
Kévin Gameiro;Centre-Forward;29;16/17;France;Sevilla FC;Spain;Atlético Madrid;Spain;30
André Schürrle;Left Wing;25;16/17;Germany;VfL Wolfsburg;Germany;Borussia Dortmund;Germany;30
Gonçalo Guedes;Left Wing;20;16/17;Portugal;SL Benfica;Portugal;Paris Saint-Germain;France;30
Keita Baldé;Left Wing;22;17/18;Senegal;SS Lazio;Italy;AS Monaco;Monaco;30
Danilo;Right-Back;26;17/18;Brazil;Real Madrid;Spain;Manchester City;England;30
Theo Hernández;Left-Back;19;17/18;France;Atlético Madrid;Spain;Real Madrid;Spain;30
Juan Sebastián Verón;Central Midfield;24;99/00;Argentina;Parma Calcio 1913;Italy;SS Lazio;Italy;30
Mario Balotelli;Centre-Forward;20;10.nov;Italy;Inter Milan;Italy;Manchester City;England;29,5
Gabriel Barbosa;Right Wing;20;16/17;Brazil;Santos FC;Brazil;Inter Milan;Italy;29,5
Dimitri Payet;Attacking Midfield;29;16/17;France;West Ham United;England;Olympique Marseille;France;29,3
Emmanuel Adebayor;Centre-Forward;25;9.okt;Togo;Arsenal FC;England;Manchester City;England;29
Carlos Tévez;Centre-Forward;25;9.okt;Argentina;West Ham United;England;Manchester City;England;29
Anthony Modeste;Centre-Forward;30;18/19;France;1. FC Köln;Germany;Tianjin Quanjian;China;29
Ezequiel Lavezzi;Left Wing;27;dec.13;Argentina;SSC Napoli;Italy;Paris Saint-Germain;France;28,95
Yannick Bolasie;Left Wing;27;16/17;DR Congo;Crystal Palace;England;Everton FC;England;28,9
David Silva;Attacking Midfield;24;10.nov;Spain;Valencia CF;Spain;Manchester City;England;28,75
Ruud van Nistelrooy;Centre-Forward;25;1.feb;Netherlands;PSV Eindhoven;Netherlands;Manchester United;England;28,5
Antonio Cassano;Secondary Striker;18;1.feb;Italy;FC Bari 1908;Italy;AS Roma;Italy;28,5
Michael Keane;Centre-Back;24;17/18;England;Burnley FC;England;Everton FC;England;28,5
Jordan Pickford;Keeper;23;17/18;England;Sunderland AFC;England;Everton FC;England;28,5
Christian Vieri;Centre-Forward;25;98/99;Italy;Atlético Madrid;Spain;SS Lazio;Italy;28,41
Mamadou Sakho;Centre-Back;27;17/18;France;Liverpool FC;England;Crystal Palace;England;28,2
Émerson;Defensive Midfield;28;4.maj;Brazil;AS Roma;Italy;Juventus FC;Italy;28
Medhi Benatia;Centre-Back;27;14/15;Morocco;AS Roma;Italy;Bayern Munich;Germany;28
Ramires;Central Midfield;28;15/16;Brazil;Chelsea FC;England;Jiangsu Suning;China;28
Álvaro Negredo;Centre-Forward;29;15/16;Spain;Manchester City;England;Valencia CF;Spain;28
Ronaldo;Centre-Forward;20;97/98;Brazil;FC Barcelona;Spain;Inter Milan;Italy;28
Márcio Amoroso;Centre-Forward;25;99/00;Brazil;Udinese Calcio;Italy;Parma Calcio 1913;Italy;28
Kelechi Iheanacho;Centre-Forward;20;17/18;Nigeria;Manchester City;England;Leicester City;England;27,7
Joleon Lescott;Centre-Back;27;9.okt;England;Everton FC;England;Manchester City;England;27,5
Samir Nasri;Attacking Midfield;24;11.dec;France;Arsenal FC;England;Manchester City;England;27,5
Henrikh Mkhitaryan;Attacking Midfield;24;13/14;Armenia;Shakhtar Donetsk;Ukraine;Borussia Dortmund;Germany;27,5
Grzegorz Krychowiak;Defensive Midfield;26;16/17;Poland;Sevilla FC;Spain;Paris Saint-Germain;France;27,5
Georginio Wijnaldum;Central Midfield;25;16/17;Netherlands;Newcastle United;England;Liverpool FC;England;27,5
Michael Carrick;Defensive Midfield;25;6.jul;England;Tottenham Hotspur;England;Manchester United;England;27,2
Samuel Eto'o;Centre-Forward;23;4.maj;Cameroon;RCD Mallorca;Spain;FC Barcelona;Spain;27
Sergio Ramos;Centre-Back;19;5.jun;Spain;Sevilla FC;Spain;Real Madrid;Spain;27
Wesley Sneijder;Attacking Midfield;23;7.avg;Netherlands;Ajax Amsterdam;Netherlands;Real Madrid;Spain;27
Klaas-Jan Huntelaar;Centre-Forward;25;8.sep;Netherlands;Ajax Amsterdam;Netherlands;Real Madrid;Spain;27
Diego;Attacking Midfield;24;9.okt;Brazil;SV Werder Bremen;Germany;Juventus FC;Italy;27
Samuel Eto'o;Centre-Forward;30;11.dec;Cameroon;Inter Milan;Italy;Anzhi Makhachkala;Russia;27
Pedro;Left Wing;28;15/16;Spain;FC Barcelona;Spain;Chelsea FC;England;27
Ilkay Gündogan;Central Midfield;25;16/17;Germany;Borussia Dortmund;Germany;Manchester City;England;27
Davy Klaassen;Attacking Midfield;24;17/18;Netherlands;Ajax Amsterdam;Netherlands;Everton FC;England;27
Juan Mata;Attacking Midfield;23;11.dec;Spain;Valencia CF;Spain;Chelsea FC;England;26,7
Francesco Toldo;Keeper;29;1.feb;Italy;ACF Fiorentina;Italy;Inter Milan;Italy;26,5
Luis Suárez;Centre-Forward;24;10.nov;Uruguay;Ajax Amsterdam;Netherlands;Liverpool FC;England;26,5
Hernán Crespo;Centre-Forward;28;3.apr;Argentina;Inter Milan;Italy;Chelsea FC;England;26
Mahamadou Diarra;Defensive Midfield;25;6.jul;Mali;Olympique Lyon;France;Real Madrid;Spain;26
Alexis Sánchez;Left Wing;22;11.dec;Chile;Udinese Calcio;Italy;FC Barcelona;Spain;26
Rio Ferdinand;Centre-Back;22;00/01;England;West Ham United;England;Leeds United;England;26
Stevan Jovetic;Centre-Forward;23;13/14;Montenegro;ACF Fiorentina;Italy;Manchester City;England;26
Alex Sandro;Left-Back;24;15/16;Brazil;FC Porto;Portugal;Juventus FC;Italy;26
Jaap Stam;Centre-Back;29;1.feb;Netherlands;Manchester United;England;SS Lazio;Italy;25,75
Márcio Amoroso;Centre-Forward;27;1.feb;Brazil;Parma Calcio 1913;Italy;Borussia Dortmund;Germany;25,5
Nani;Left Wing;20;7.avg;Portugal;Sporting CP;Portugal;Manchester United;England;25,5
Dejan Lovren;Centre-Back;25;14/15;Croatia;Southampton FC;England;Liverpool FC;England;25,3
Toni Kroos;Central Midfield;24;14/15;Germany;Bayern Munich;Germany;Real Madrid;Spain;25
Enzo Pérez;Central Midfield;28;14/15;Argentina;SL Benfica;Portugal;Valencia CF;Spain;25
Stefan Savic;Centre-Back;24;15/16;Montenegro;ACF Fiorentina;Italy;Atlético Madrid;Spain;25
Layvin Kurzawa;Left-Back;22;15/16;France;AS Monaco;Monaco;Paris Saint-Germain;France;25
Alessio Romagnoli;Centre-Back;20;15/16;Italy;AS Roma;Italy;AC Milan;Italy;25
Nico Gaitán;Left Wing;28;16/17;Argentina;SL Benfica;Portugal;Atlético Madrid;Spain;25
Samuel Umtiti;Centre-Back;22;16/17;France;Olympique Lyon;France;FC Barcelona;Spain;25
Jesé;Left Wing;23;16/17;Spain;Real Madrid;Spain;Paris Saint-Germain;France;25
Youri Tielemans;Central Midfield;20;17/18;Belgium;RSC Anderlecht;Belgium;AS Monaco;Monaco;25
Andriy Yarmolenko;Right Wing;27;17/18;Ukraine;Dynamo Kyiv;Ukraine;Borussia Dortmund;Germany;25
Serge Aurier;Right-Back;24;17/18;Cote d'Ivoire;Paris Saint-Germain;France;Tottenham Hotspur;England;25
Andrea Conti;Right-Back;23;17/18;Italy;Atalanta BC;Italy;AC Milan;Italy;25
Davide Zappacosta;Right-Back;25;17/18;Italy;Torino FC;Italy;Chelsea FC;England;25
Vincenzo Montella;Centre-Forward;25;99/00;Italy;UC Sampdoria;Italy;AS Roma;Italy;25
